サークル名 (Circle),"ふりがな (Circle, phonetically)",URL,ジャンル (Genre),Vocal,主な頒布CD (Album),原曲アレンジの程度 (?),一言
扇乃茶屋,おうぎのちゃや,http://d.hatena.ne.jp/amsteria/,バンドアレンジ、エレクトロニカ,,ビッグバンド綺想曲,原曲維持,素直なバンド風味と穏やかなエレクトロニカインストアレンジ。（和泉）
大江戸宅急便,おおえどたっきゅうびん,http://www.ooedo.jp/,テクノ、エレクトロ、トランス,,月刊ミゾノクチシリーズ,原曲維持,初期から続く老舗サークル。安定したアレンジ。(イール)
堕武者グラインド ,おちむしゃぐらいんど ,http://vomitinkesennuma.blog51.fc2.com/,グラインドコア,男,東方マカダミア１０４～Stab me if you can.,原曲維持～破壊,突っ走るドラムと唸るベースと切れるデスボイス。（Black）
音乃葉解体御調処,おとのはかいたいおんちょうどころ,http://www.cheebow.me/,,,東方エアロ,原曲維持,
音召缶 ,おとめかん,http://otome-kan.net/,トランス,女,東方音対無シリーズ,原曲維持,
俺は十進法を採用しました。,おれはじゅっしんほうをさいようしました,http://gmsyoutenha.blog51.fc2.com/,テクノ、エレクトロ、ハウス、クラシック,,東方合成雅懐,原曲維持,テンポ速めのピアノや激しいエレクトロなどバラエティに富んだインストもの。（Black）
音不知,おんしらず,http://onshiraz.blog112.fc2.com/,ジャズ、スカ,,音返し～vol.1～,原曲維持,
懐風堂 東町支店,かいふうどうひがしまちしてん,,ロック,男,永々しき星の夜,原曲維持,ストリングスとピアノの音色が単純ながらも気持ちいいロックアレンジに頑張る男声ボーカル。（和泉）
快楽音楽堂,かいらくおんがくどう,http://17.pro.tok2.com/~nijiden2/kaion/,ハードロック,男女,東方乱奏盤,原曲維持～破壊,シンプルな快速ハードロックに低中音をがんばった女声ボーカルとデスボイス男声ボーカル。（Black）
回覧百貨箱 音楽工房,かいらんひゃっかばこおんがくこうぼう,http://tw.kairan.info/,オーケストラ,,森林休暇 + 東方アレンジ,原曲重視,
回路 -kairo-,かいろ,http://www.k-a-i-r-o.com/,ロック、メタル,男女,3/4　～ three times of the east ～,原曲維持,抽象的なセカイ系味わいの雰囲気がするロックボーカル。（Black）
九龍海鮮飯店,かおるーんかいせんはんてん,http://www.team-nekokan.com/tetuxneko/kaisenhanten/,ロック、ポップス,男女,桜華,原曲重視～維持,ニコ動で人気のてつ×ねこのメンバーによる東方アレンジ。少し癖のある硬めの男声ボーカルに手堅いロックアレンジ。女声ボーカルバージョンもある。（Black）
楽団ロマンティシズム,がくだんろまんてぃしずむ,http://gakuroma.blog118.fc2.com/,,,東方　サリスティーナ☆,,
格納庫,かくのうこ,http://subhangar.web.fc2.com/,ハードコア、トランス,,HappyHappyLunatic,原曲維持,メロ重視のトランス、軽めハードコア系インストアレンジ。（Black）
神楽庭園,かぐらていえん,http://kagura.secret.jp/,テクノ、トランス、ロック,,紅夜事変 -神奏楽曲集II-,原曲維持,高速かっ飛びありじんわり聴かせありのテクノ系打ち込みインストアレンジ。（Black）
華絹花,かけんばな,,ワルツ、ダンス、和風,,春夏秋トウホウシリーズ,原曲維持,三拍子をメインに様々なジャンルの曲をアレンジ。明るい曲が多く、どの曲も安定感がある。(隆)
梶迫小道具店,かじばこどうぐてん,http://cajiva.net/,テクノ、エレクトロ、エレクトロニカ、ドラムンベース,,Hide & Seek,原曲維持～破壊,バラエティに富む打ち込みに色付けのボーカルまで入ってシンプルながらも飽きさせない。（Black）
華胥の永眠,かしょのえいみん,,,,xxxの神隠し,,
加水分解,かすいぶんかい,http://ran.miraru.com/midi/midi.htm,,,無料頒布CD,,
春日町,かすがちょう,http://www.kasugachoo.com/,オーケストラ,,東方SRPG乱愚風サウンドトラック,原曲維持,朗々としたスタンダードなオケアレンジ。（Black）
和弘法,かずこうぼう,http://www.kazukoubou.net/,クラシック、ハーモニカ,,東方１人○役シリーズ,原曲重視～維持,ハーモニカアレンジは珍しい。（Black）
華霞魅-kasumi-,かすみ,http://kasumiweb.web.fc2.com/,メタル,,霞色シリーズ,原曲維持,
株式会社虎の穴,かぶしきがいしゃとらのあな,http://www.toranoana.co.jp/,テクノ、エレクトロ、ロック,,東方詞華集シリーズ,原曲維持,大安定のアレンジャーたちを集めたマルチジャンル。（Black）
神乃木製作所,かみのぎせいさくしょ,http://ss.kaminogi.net/,テクノ、エレクトロ,,東方神楽祭シリーズ,原曲維持,しみじみとミドルテンポのマルチジャンル。（Black）
花梨糖達の宴,かりんようたちのうたげ,,,,花梨糖達の気紛れ祭,,
渦錬,かれん,http://homepage2.nifty.com/ravina/karen/,ハウス、ポップス,女,静謐なるは少女の中に,原曲維持,シンプルなメロにシンプルながらもかわいらしい女声ボーカル。（Black）
刻刻音樂館,ぎざぎざおんがくかん,http://www42.tok2.com/home/samidaremidi/,エレクトロ、ゲーム,,流流天水音 ~Nagaruru Amenomizuoto~,原曲重視,原曲のメロディや雰囲気を色濃く残した東方Project的世界観に基づいたアレンジ。（Black）
疑似科学出版会,ぎじかがくしゅっぱんかい,http://anthlopos.xxxxxxxx.jp/,,,,,
岸田教団,きしだきょうだん,http://k-kyoudan.s61.xrea.com/,バンドアレンジ,女,SuperSonicSpeedStar,原曲維持,非常に聴き応えがあり、ボーカルとアレンジの組み合わせが絶妙。(獏)
喫茶「過労死」,きっさかろうし,http://members.jcom.home.ne.jp/neomuscat/,,,Farther,,
狐の工作室,きつねのこうさくしつ,http://yuki-factory.main.jp/main/,オーケストラ,,東方幻想界シリーズ,原曲維持,安定したクラシックアレンジ。(イール)
君の美術館,きみのびじゅつかん,http://www.kimino-museum.com/,ロック、ワルツ,男女,dialogueシリーズ,原曲重視,手堅い生演奏サークル。非常に聞きやすく、BGMとして最適。(獏)
求代目の紅茶会 & 科学世紀のカフェテラス記念合同,きゅうだいめのこうちゃかい あんど かがくせいきのかふぇてらすきねんごうどう,http://ninth-gen-teaparty.info/01/hanpubutsu.shtml,テクノ、エレクトロ、トランス、ロック、エレクトロニカ,女, PARALLEL DREAMERS　～ the fantastic memorial fan books,原曲維持～破壊,打ち込み成分多めのマルチジャンル秘封倶楽部オンリーアレンジ。（Black）
永久立体＜キュービックループ＞,きゅーびっくるーぷ,http://i13mistoffeleese.blog45.fc2.com/,テクノ、トランス、ハードコア,,永久立体,原曲維持,バラエティに富むややダークなテクノ系インストアレンジ。（Black）
境界茶店,きょうかいさてん,,,,東方ノッキチ羊羹,,
餃子屋本舗,ぎょうざやほんぽ,http://www.gyozayahonpo.com/,民族,,東方二胡シリーズ,原曲維持,二胡の生演奏は貴重。（Black）
狂奏楽団,きょうそうがくだん,http://kyousou-gakudan.com/,メタル,女,東方夢幻奏　～The dream and phantom with ephemeral tune～,原曲重視,ボーカルはゴシック系。語りが入る辺り好みが分かれるかも？(獏)
玉座研究所(仮),ぎょくざけんきゅうじょかっこかり,http://circlegyokuken.blog11.fc2.com/,メタル、ミニマル、テックハウス,男女,冥界を流れる雲のように,原曲維持～破壊,静かさと激しさ、そのどちらもを綺麗にアレンジしているように思う(UR)
極東アウトブレイク,きょくとうあうとぶれいく,http://echoproject.xxxxxxxx.jp/eob.html,ロック,男女,極東アウトブレイク,原曲維持,スタンダードなロックアレンジに素直なボーカルを乗せて。（和泉）
極東海賊団,きょくとうかいぞくだん,http://kyokutou.xxxxxxxx.jp/,メタル、ハードロック,男,博麗神社焼肉祭～Extreme Grill Fest～,原曲維持～破壊,重低音メタルにシャウトで疾走メタルアレンジ。（和泉）
金蓮亭,きんれいてい,http://goldenlotus.zouri.jp/,ピアノ,,永麗紅夜,原曲維持,シンプルなピアノオンリーアレンジ。（Black）
黒岩君の美術館,くろいわきみのびじゅつかん,http://www.kimino-museum.com/9610/brm2.html,,,Black Rock Museum 2,,
黒兎団,くろうさぎだん,,テクノ、ロック,,上海冷茶館HOT,原曲維持,ひと癖ひねったアレンジが面白いです。（和泉）
黒ヶ音研究室,くろがねけんきゅうしつ,http://kuroganelab.sakura.ne.jp/,ハードロック、メタル,,LIGHTNING MIRAGE,原曲維持,速い速いかっ飛びドラムにエレギ原曲メロがかっこいい。（Black）
群青リボン ,ぐんじょうりぼん,http://gunjouribon.web.fc2.com/,ロック,男女,初染E.P.,原曲維持,爆走系ロック男声ボーカルアレンジにややゆったりめロック女声ボーカルアレンジ。（Black）
群馬東方会,ぐんまとうほうかい,http://gunmatohokai.web.fc2.com/,ポップス,男女,東方アレンジと聞いて１,原曲維持～破壊,ポップス・電波系ヴォーカルアレンジ。(イール)
月面着陸ファージ,げつめんちゃくりくふぁーじ,http://moonphage.net/blog.html,テクノ、トランス、メタル,,幻想狂走譜シリーズ,原曲重視～維持,かっ飛ぶビートのトランスアレンジ。ギターが呻き突っ走るメタル系インストも。（Black）
幻想郷グリークラブ,げんそうきょうぐりーくらぶ,http://www.cascre.com/glee/,合唱,男,少女が見た日本の秋の原風景,原曲維持,史上初の全編無伴奏男声合唱アレンジ。朗々と素晴らしい。（Black）
幻想女給組合,げんそうじょきゅうくみあい,http://www.maid-san.org.uk/gensou/,ロック,,Les Mystères De l'illusion,原曲維持,
絃奏水琴樂章,げんそうすいぎんがくしょう,http://melodic-harp.net/,オーケストラ,,邂逅の映像,原曲維持,音楽によって風景を表すことを目的としたアレンジを多く作っている。(獏)
幻葬の隙間合同企画,げんそうのすきまごうどうきかく,,,,幻葬短譚蒐-八雲式-,,
幻想遊牧民,げんそうゆうぼくみん,http://gensouyuubokumin.xxxxxxxx.jp/,ロック,男,東方爆音狂(仮),原曲重視,
幻想遊牧民,げんそうゆうぼくみん,http://gensouyuubokumin.xxxxxxxx.jp/,ロック,男,精神コンストラクト,原曲維持,男声ボーカルのシャウトに重たいベース。（Black）
小悪魔合同CD企画,こあくまごうどうしーでぃーきかく,,テクノ、エレクトロ,,Little Devil Compilation CD,原曲重視～維持,
恋色屋,こいいろや,http://com.nicovideo.jp/community/co1168,テクノ、エレクトロ,,妖符「恋花繚乱」,原曲維持,ニコニコ動画で集まったアレンジャーたちの共演。（Black）
紅魔記念(G1),こうまきねんじーわん,http://suzucarlet.blog52.fc2.com/,,,Sound of Scarlet,,
黒天羊舎,こくてんようしゃ,http://bfcg.seesaa.net/,ボーカロイド、ロック,,夜と桜と 星空デート,原曲維持,
黒板クリーナー,こくばんくりーなー,http://sakuku39.tuzigiri.com/,ハードロック,,Master Spark,原曲維持,鋭い音遣いが印象的なハードロックアレンジ。（Black）
黒夜葬,こくやそう,http://kokuyasou.verse.jp/,メタル、トランス,,Catharsis,原曲破壊,暗黒系クラシカルゴシックアレンジ。かなり独特な雰囲気を持つアレンジです。（和泉）
午前四時,ごぜんよじ,http://gozenyoji-iam4.cranky.jp/index.php,ロック,男,暮色蒼然 ,原曲維持,シンプルな軽いロックにやや粘る男声ボーカル。（Black）
狐兎疋,ことひき,http://kotohiki.main.jp/index.html,和風,,落花流水,原曲維持,
子猫奪回屋,こねこだっかいや,http://konekodakkaiya.client.jp/,ロック,女,Realize ～地霊幻想譜～,原曲維持,短調のアレンジに女声ボーカルがオーソドックスだが聞きやすい。オール生演奏の醍醐味。（和泉）
九葉書蔵,このはしょぞう,http://www.xliner.net/konoha/blog/,アニソン,男,歌符マスタースパーク,原曲維持,
狐夢想屋,こむそうや,http://tsubu.ath.cx/~komso/,テクノ,,スパーク・スターズ・ストライカー,原曲維持～破壊,TMOイメージのテクノアレンジ。(イール)
狐魂-Kontama-,こんたま,,オーケストラ、テクノ、エレクトロ,,きつねのたましぃでぃー,原曲維持,ゆったりとしたオケアレンジの東方とアップテンポなそれ以外。（Black）
彩音,さいおん,http://xion.art-studio.cc/,ロック、ピアノ,,東方志奏シリーズ,原曲維持,
祭来堂,さいらいどう,http://sairaido.web.fc2.com/,ロック、テクノ、ポップス,,Chaotic Reverie,原曲重視,スピード感の有るアレンジ。(イール)
砂塵音樂室,さじんおんがくしつ,,メタル,女,Brioche!!,原曲維持,原曲を維持しつつ大胆にアレンジ。非常に聴き応えがある。(隆)
擦弦の音に怪鳥の相槌,さつげんのねにかいちょうのあいづち,http://homepage2.nifty.com/fairytale/top.htm,ワルツ、オーケストラ,,幻想交響詩篇集,原曲維持～破壊,
戯音楽団,ざれおとがくだん,http://zareotogakudan.blog117.fc2.com/,メタル,,東方鋼魔録,原曲維持,激しい疾走感が心地よいメタル。（Black）
斬,ざん,http://www.zerverius.com/zann/,ボーカロイド、メタル、ピアノ,,Samurai from East,原曲維持,
参ヶ崎,さんがさき,,アコギ,,東方幻想曲,原曲維持,
三弦堂,さんげんどう,http://steelofmachine.blog53.fc2.com/,メタル,,Sunny Metal Flection,原曲維持,軽めのメタル風味インストアレンジ。（和泉）
山紫水明,さんしすいめい,http://sanshisuimei.ho-zuki.com/,バンド,女,Absolute Position,原曲維持,ボーカルとアレンジがしっかりしていて、手堅く安心して聞ける。(鰻)
三千年の孤独,さんぜんねんのこどく,,,,Toho Project Arrange CD 「紅」,,
四季映姫合同誌企画,しきえいきごうどうしきかく,,テクノ、エレクトロ、ハードロック,,天地我人 ,原曲維持,アレンジャーは複数だけど疾走感でアッパーになったところに締めのピアノがいい。（たかはし）
時雨月横丁,しぐれつきよこちょう,http://shigureduki.yokochou.com/,クラシック,,萃奏樂シリーズ,原曲維持,
舌打カーニバル,したうちかーにばる,http://www.myspace.com/1004946006,,,東方秋桜,,
十方世界の果ての空 ,じっぽうせかいのはてのそら,http://progressive.nobody.jp/,ロック、エレクトロ,,狂気月蝕,,
死際サテライト,しにぎわさてらいと,http://shinigiwasatellite.web.fc2.com/,ハードコア、メタル,,ANALOG GIRL IN A DIGITAL WORLD EP,原曲維持～破壊,
縞模様。,しまもよう。, http://zanmai.komeiji.info/,エレクトロ、トランス、ハードコア,,今日は一日こいし三昧！,原曲維持,複数アレンジャーによる速め打ち込み系マルチジャンルアレンジ。（Black）
社会のゴミ,しゃかいのごみ,http://www.myspace.com/thedustofsociety,ハードロック、メタル,男,DUST OF SOCIETY　First Demo,原曲維持～破壊,重厚なギターにデスメタル系シャウトで揺らす。（Black）
時遊戯画,じゆうぎが,http://jiyugiga.sakura.ne.jp/,テクノ、トランス、エレクトロ、ロック,,想月綺曲集,原曲維持,
受神中,じゅしんちゅう,,ロック,,罪の23。,原曲維持,
松樹千年翠,しょうじゅせんねんのみどり,,ダンス、ポップス、エレクトロ,男女,東方歌宴郷 ～SUMMER FESTIVAL～,原曲維持,
少女全自動,しょうじょぜんじどう,http://shoujozenjidou.net/zenjidou_blog/,ハードロック、テクノ、エレクトロ,,Philosophie,原曲維持,疾走ありゆったりあり、マルチジャンルの整ったアレンジ。（Black）
消灯現象 ,しょうとうげんしょう,http://ktr.yukimizake.net/main.html,ロック,,モぎたて☆早苗さん,原曲維持,軽めのエレギメインにシンセがうまく合わさったインストアレンジ。（Black）
少年ヴィヴィッド,しょうねんヴぃヴぃっど,http://ichi01blog.7narabe.net/,ロック,男,O2,原曲維持,軽やかなロックアレンジに細めの男声ボーカル。（Black）
小龍包,しょうろんぽう,http://showlongpao.net/,テクノ、エレクトロ、ロック,女,est purple,原曲維持～破壊,
食業音楽食堂,しょくぎょうおんがくしょくどう,http://sosdeliveryblue.blog10.fc2.com/,,,Magic Star,,
地雷少女症候群 ,じらいしょうじょしょうこうぐん,http://tgs.ko-me.com/,バンドアレンジ,男,TOUHOU FM ,原曲維持,シンプルなギターのバンドアレンジに細めの男声ボーカル。（Black）
白上さんち,しらかみさんち,http://sirakamisanti-ao.sakura.ne.jp/,,男,二人の明星　おまけCD,,
白いしましまうさぎ,しろいしまうまうさぎ,http://simausa.seesaa.net/,和楽,,はじめての東方和楽,原曲重視～維持,本格的な和楽器生演奏アレンジが聞けるサークルです。箏や篠笛の音色が美しい！（瑞葉）
白いしましまうさぎ,しろいしまうまうさぎ,http://simausa.seesaa.net/,民族 ,,はじめての東方和楽,原曲重視～維持,和楽器生演奏という独自のスタイル。（Black）
白黒ウサギ御乱心。 ,しろくろうさぎごらんしん,http://shirokurousagi.half-moon.org/,トランス、テクノ、エレクトロ,女,兎の性欲はすごいらしい,原曲維持,まさに狂気なアレンジと歌詞が忘れられない。（和泉）
白猫楽団,しろねこがくだん,http://whitecatgakudan.blog89.fc2.com/,,,白猫楽団の試作品,,
白桃缶,しろももかん,http://sweety.jp/mol/,,,しろくろメリー,,
神社の裏,じんじゃのうら,http://bsblog666.blog17.fc2.com/,テクノ、エレクトロ、トランス,,異符連奏,原曲維持,激しくも淡々と進むテクノ・エレクトロ系インストアレンジ。（Black）
人生の気だるさ日和,じんせいのけだるさびより,http://kat.ushimairi.com/,テクノ、エレクトロ、ハードロック,女,Not Music,原曲維持,ミドルテンポのマルチジャンル女声ボーカル。（Black）
神仙崑論楽団,しんせんこんろんがくだん,http://blog.livedoor.jp/soutenizm/,テクノ、エレクトロ,,東方蒼夜郷,原曲維持,原曲の雰囲気をうまく活かした透明感あるスローなシンセ系インスト。（Black）
深層記憶システム,しんそうきろくしすてむ,http://sound2subliminal2system.web.fc2.com/index.html,,,,,
深夜project,しんやぷろじぇくと,,ダンス、トランス、ジャズ、オーケストラ、エレクトロ,,深夜,原曲維持～破壊,ダンスメイン。多数のアレンジャーを集めた多彩な技術の共演。（Black）
深夜放送,しんやほうそう,http://shinyahousou.jugem.jp/,メタル,,東方project劇中曲アレンジCD,原曲維持～破壊,
萃符合同企画,すいふごうどうきかく,http://suihu.s265.xrea.com/,テクノ、エレクトロ,,萃符｢無名宴｣ -Nameless Party-,原曲維持,東方シリーズ板による合同企画第二段。(イール)
巣鴨北口店,すがもきたぐちてん,http://sugamokitaguchi.xxxxxxxx.jp/,ハードロック,,東方錯幻奏,原曲維持,ギター疾走が気持ちいい。（Black）
諏訪神楽祀　氏子会,すわのかぐらまつりうじこかい,http://sirayukiinari.web.fc2.com/,テクノ、エレクトロ、トランス、ハウス、ドラムンベース、ロック、メタル、アコースティック、ジャズ、エレクトロニカ,男女,ネイティブフェイスオンリーアレンジ合同　諏訪神楽祀,原曲維持～破壊,多彩なアレンジャーたちが集う極上マルチジャンル。（Black）
精霊召還,せいれいしょうかん,,テクノ、エレクトロ,,東方の彼方 ～far east distance～,原曲維持,
世界秘封病学会,せかいひふうびょうがっかい,http://222.chaso.net/,ロック、トランス、テクノ、エレクトロ、ポップス、ハウス,女,秘封サナトリウム,原曲維持,腕に覚えありのアレンジャーたちが集まって様々なジャンルを集めたマルチジャンル。（和泉）
赤道,せきどう,http://sekidou.dogearstudios.net/,ロック,男,MISSING LIAR,原曲維持,朗々と歌う男声ボーカルが印象的な調ったスタンダードロックアレンジ。（Black）
瀬々屋,ぜせや,,ハードロック,,氷娘 コミケ限定盤,原曲維持,安定したギターが光るインストアレンジ。（Black）
石鹸屋,せっけんや,http://sekken.sakura.ne.jp/,バンドアレンジ,男,東方Lv.20,原曲維持,スタンダードなロックに比較的安定した男声ボーカルは貴重。（Black）
絶対４℃,ぜったいよんどしー,http://d.hatena.ne.jp/miyapu/,テクノ、エレクトロ,,STAR LIGHT,原曲維持,PC98シリーズアレンジ。（Black）
絶八屋,ぜっぱや,,,,Ghost Butterflies ,,
瀬戸八十八夜,せと はちじゅうはちや,http://seto8.web.fc2.com/,ロック、テクノ、エレクトロ、ジャズ,男女,東方責任転嫁,原曲維持,
仙台戦隊みくれんじゃー,せんだいせんたいみくれんじゃー,,ポップス、ロック、ボーカロイド,,東方巫女未来,原曲維持,ボーカロイドオンリーのアレンジ集。（Black）
全力でピチュれ連盟,ぜんりょくでぴちゅれれんめい,http://www.fp3.dojin.com/,テクノ、エレクトロ、ハウス、ロック、ジャズ,,満身創痍!! -Game Over-,原曲維持,アレンジャーが集まって特定のテーマに沿ったマルチジャンルアレンジを作る企画。これだけあると飽きは来ない。（和泉）
早大虹幻会,そうだいにじげんかい,http://circlewisp.is-mine.net/,クラシック、エレクトロ,,東方は儚きアレンジの為に,原曲重視,クラシックから打ち込みまで多彩なアレンジ。(イール)
蒼天の雪,そうてんのゆき,,ダンス、ロック、オーケストラ、エレクトロ,,＠～Charisma～,原曲維持,老舗の合同企画サークル。有名アレンジャーによるアレンジは聴き応え十分。(浅葱)
即興工房,そっきょうこうぼう,http://www.improsound.org/,テクノ、エレクトロ、トランス、フュージョン,,東方アレンジ - Jazz & Dance -,原曲維持,2人のアレンジャーがダンサブルなテクノトランスとゆったりフュージョン風をそれぞれインストアレンジ。（Black）
空彩観測。,そらいろかんそく,http://cieletlune.web.fc2.com/,エレクトロ、ロック,女,Canopus.,原曲維持,激しいエレギの刻みに女声ボーカル。（Black）
空色作戦(花火うき),そらいろさくせん,http://mist.in/sorairosakusen/index.html,ロック、メタル,男女,紅い月に焦がれる時、少女は月に手を伸ばす,原曲維持,男女ツインボーカルのロックアレンジ。（Black）
空ノ調ベ,そらのしらべ,http://ichi01blog.7narabe.net/,バンドアレンジ,男,空調二重奏 ,原曲維持,硬めのロックアレンジに男声ボーカル。（Black）
第零交響師団,だいぜろこうきょうしだん,http://zerokyo.com/,ロック、エレクトロ、ボーカロイド,女,東方零響奇譚 ~ Sophisticated Insanity,原曲維持,聖剣2作曲の菊田氏による技術の粋を集めたアレンジ。（Black）
大東亜研,だいとうあけん,http://www47.atwiki.jp/handaitohoarr/,,,PAX PHANTASICANA,,
第二生徒会室,だいにせいとかいしつ,http://stk2r.com/,テクノ、エレクトロ,,LOUCURa,原曲維持,
大妖精合同CD企画,だいようせいごうどうしーでぃーきかく,,テクノ、エレクトロ,,BigFairy combination CD  ,原曲維持,
惰音ライフ,だおんらいふ,http://ononono.heavy.jp/top.html,メタル,,Metal Fantasy Apocalypse,原曲維持,エレキギターメロメインのやや重め疾走メタルインスト。（Black）
竹串confusion,たけぐしこんふゅーじょん,http://takecon.web.fc2.com/,ロック、エレクトロ、和風、ボサノヴァ、クラシック,男女,竹串のお通し。,原曲維持,いろいろなジャンルにいろいろな仕掛けを施した工夫にあふれる取り組みが光る。（Black）
黄昏フロンティア,たそだれふろんてぃあ,http://www.tasofro.net/,ロック、ピアノ、オーケストラ、ジャズ、テクノ,,核熱造神ヒソウテンソク,原曲重視～維持,クラシック風味を基調にしたマルチジャンルアレンジ。 （あゆみ）
例えるなら。,たとえるなら。,,ロック,男,Moonless Scarlet,原曲維持,シンプルなエレキギターとドラムのロックアレンジ。男声ボーカル版とインスト版。（Black）
魂音泉,たまおんせん,http://tamaonsen.com/,ラップ、メタル,男女,World's End Garden,原曲維持～破壊,
弾幕ｍｅｌｔ,だんまくめると,http://danmakumelt.maiougi.com/,,,東方指パッチン！,,
淡麗,たんれい,http://tanray-sounds.blogspot.com/,トランス、ハードコア、テクノ,,TOUHOU REMEMBER,原曲破壊,いわゆるマキナ系ハードコアのスタンダード。（Black）
茶K,ちゃけー,http://marutyak.web.fc2.com/,,,Find out the new morning,,
中央特快 ,ちゅうおうとっかい,http://centerexpress.web.fc2.com/index.html,,,東方夜行快速,,
朝挽歌,ちょうばんか,http://www.insou.sakura.ne.jp/,オーケストラ,,風、蕭蕭として,原曲維持,
直立不動で愚者の認定を受ける,ちょくりつふどうでぐしゃのにんていをうける,http://www.gusha.org/,ポップス、ロック,女,日出国愚者、到東彼方 ～暗闇如現、白陽炎如去～,原曲維持,
月と星の魔法(瑠璃色少女),つきとほしのまほう,http://kagurazakaweb.sakura.ne.jp/mai/,,,,,
月臥丘書寮,つきみがおかしょりょう,http://www.tsukigaokashoryo.com/,ロック、メタル,,幻想千夜一夜　Live at 白玉楼スーパーアリーナ　Remastering + Encore Version,原曲維持,
月見酒,つきみざけ,http://www.tsukimizake.com/,エレクトロニカ,,ヽノ十,原曲維持,
月夜幻想,つきよげんそう,http://lunaphase.sakura.ne.jp/,,,ただ猫は泡沫を廻る,,
冷たい人比良が直せない予感。,つめたいひとひらがなおせないよかん,http://nameya.s269.xrea.com/hihu/,ロック、ポップス,女,幻想語。,原曲維持,アンニュイな雰囲気のアレンジに女声ボーカルがしっとり。（Black）
冷猫,つめねこ,http://nameya.s269.xrea.com/,テクノ、エレクトロ,女,ユメガタリ,原曲維持,
凋叶棕,てぃあおいえつぉん,http://www.rd-sounds.com/,ロック、クラシック、テクノ,女,宴,原曲維持～破壊,ストリングスが印象的なマルチジャンル。（Black）
凋叶棕,てぃあおいえつぉん,http://www.rd-sounds.com/,ロック、ジャズ、トランスetc,女,宴,原曲維持～破壊,原曲崩壊気味のアレンジとストーリー性の高い歌詞、凝ったブックレットが特徴のサークル(Ewigkeit)
低脂肪株式会社,ていしぼうかぶしきがいしゃ,http://lowthefat.blog60.fc2.com/,,,Slowly,,
鉄腕トカゲ探知機,てつわんとかげたんちき,http://www.kit.hi-ho.ne.jp/white_detteiu/,ロック,男,月光ナッツ,原曲維持,
天舞草,てまり,http://temari05.blog.fc2.com/,,,月見草,,
電開製作所,でんかいせいさくしょ,http://denkai.net/,テクノ、エレクトロ、トランス、ディスコ,,東方奏震電,原曲維持,ピコピコサウンドちっくなアレンジが耳に心地よく、エレクトリカルな世界に浸れます。（瑞葉）
天気雨,てんきあめ,http://razycom.blog130.fc2.com/,ジャズ,,Before light,原曲重視,耳に優しいジャズアレンジ。（鰻）
電氣妖精界,でんきようせいかい,http://www.elfield.url.tw/,クラシック,,Valse de l'est ~ Danse Souterrain,原曲維持,端正なクラシックアレンジ。（Black）
天狗ノ舞,てんぐのまい,http://natsume.ushimairi.com/,ロック,男,トウホウバンドアレンジオンゲンシュウ　テングノタヨリ シリーズ,原曲維持,物悲しげな音色のギターが印象的なロックアレンジ。（Black）
転々。新聞,てんてんまるしんぶん,http://tentenmaru.web.fc2.com/,テクノ、エレクトロ,,東方紅楽譜,原曲維持,
天然ジェミニ,てんねんじぇみに,http://tenjemi.com/,ポップス、テクノ,女,東方香辛甘味,原曲維持,軽やかなポップスメイン。（Black）
燈音藝術集團,とうおんげいじゅつしゅうだん,http://tone-gr.jpn.org/,テクノ、エレクトロ、クラシック,,Far East Materials,原曲維持～破壊,
東京農工大学作曲・DTM サークル,とうきょうのうこうだいがくさっきょくでぃーてぃーえむさーくる,http://cctat.net/,ジャズ、エレクトロ、トランス、ハードコア,女,tat attractive tracks #03 IKIATARI-BATTARI ,原曲維持～原曲破壊,しっとりエレクトロあり激しいハードコアありのマルチジャンルアレンジ。（Black）
東紅幻響,とうこうげんきょう,http://pepeko.kemuridama.com/,,,文々新聞号外　祭,,
東部開拓地,とうぶかいたくち,http://blog.livedoor.jp/th_frontier_ibiza/,テクノ、エレクトロ、ロック,,オオイナル,原曲維持,アップテンポなごった煮アレンジ。陽気な曲調は聞いてて楽しめる。(浅葱)
東方アレンジ・耳コピスレッドＣＤ企画,とうほうあれんじみみこぴすれっどしーでぃーきかく,http://tsubu.s104.xrea.com/thcd/,クラシック、テクノ、エレクトロ、トランス,,幻想音楽祭～Phantom Concert,原曲維持～破壊,東方シリーズ板による合同企画。各種ジャンルが入り混じった珠玉の一枚。(浅葱)
東方管弦楽団,とうほうかんげんがくだん,,クラシック、オーケストラ,,,原曲重視～維持,
東方ジャズメッセンジャーズ,とうほうじゃずめっせんじゃーず,http://tjm.go-th.net/,ジャズ,女,girls apartment,原曲維持,ジャズコンピ。全体的にやや静かで穏やかな雰囲気の漂うアレンジ。(UR)
東方吹奏楽団,とうほうすいそうがくだん,http://touhousuisougaku.web.fc2.com/,クラシック（吹奏楽）,,東方樂萃集,原曲維持,吹奏楽アレンジ。かなり音も取れており安定している。（和泉）
東方吹奏楽団大阪支部,とうほうすいそうがくぶおおさかしぶ,http://www42.tok2.com/home/towo/,,,楽団案内冊子,,
東方テロリズム,とうほうてろりずむ,,和風、トランス、ハードコア,,Northern Freeform,原曲維持～破壊,コンピアルバム。どれも手堅い感じ。いろんなジャンルが入ってました(UR)
